0-4,6.2
5-9,6.5
10-14,6.3
15-19,6.0
20-24,6.9
25-29,7.6
30-34,7.5
35-39,7.2
40-44,6.3
45-49,6.4
50-54,5.8
55-59,6.0
60-64,5.5
65-69,4.8
70-74,4.3
75-79,3.0
80-84,2.0
85-100,1.7
